OF, c_star
0.9942569992821249, 1128.259710586438
1.1542569992821248, 1159.1147005862404
1.3199999999999998, 1189.3455801419288
1.4685139985642495, 1214.0227773793004
1.6342569992821245, 1237.7079394712325
1.805743000717875, 1262.4730164438113
1.9542569992821244, 1287.4117228416567
2.119999999999999, 1324.347222100746
2.2799999999999994, 1369.1408890601635
2.4399999999999995, 1412.0906761975632
2.594256999282125, 1448.1790544341864
2.7427709978463755, 1477.802989917172
2.9257430007178753, 1506.873809269164
3.0857430007178754, 1529.0175912193931
3.2342569992821257, 1547.5125805842927
3.4000000000000004, 1566.6076361291578
3.5600000000000005, 1581.9076623864062
3.7200000000000006, 1595.0086235666754
3.8742569992821263, 1606.7557839448014
4.045743000717876, 1617.5914601577708
4.2057430007178755, 1627.522598202439
4.354256999282127, 1634.6914524955469
4.525743000717877, 1642.7052056131809
4.6800000000000015, 1648.0019504034121
4.834256999282126, 1653.0538327210697
4.994256999282126, 1656.92243506405
5.160000000000003, 1660.9182301920655
5.325743000717877, 1663.697880359343
5.480000000000003, 1665.3710478804308
5.640000000000002, 1665.7057878456326
5.8000000000000025, 1665.8921546297204
5.960000000000003, 1665.522408625801
6.114256999282127, 1665.228777873946
6.274256999282128, 1662.1804224140851
6.440000000000003, 1660.1745196827408
6.6057430007178795, 1656.9084722481864
6.760000000000003, 1654.3338540448908
6.93722900215363, 1650.2038815189949
7.080000000000004, 1646.8947844937445
7.240000000000004, 1643.3230517571849
7.40574300071788, 1639.3226802334163
7.5829720028715055, 1634.644560405947
7.731486001435757, 1630.5849294243478
7.885743000717881, 1626.7649223146902
8.074458004307257, 1621.3192091832018
8.222972002871506, 1617.5915849290984
8.377229002153632, 1613.5089537113415
8.497027997128503, 1608.8409254556586
